simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac_product,act_rate,act_frac_S,act_frac_V,mode_wet_radius_mean,mode_wet_radius_stdev,,
0,4.15E+09,8.62E-06,1.617061768,0.815705941,0.019600804,265.0232452,69020.90925,1,0.003004521,265.0169971,69012.79253,306.1098973,,,,11.02585733,57670.10534,715.8636911,0,0,0,0,0.000600493,7.463076238,,
1,3.07E+07,2.54E-08,1.96644271,1.355366798,0.132914204,282.2105505,66365.62397,1,0.01100208,282.2007552,66357.54867,75.23650356,1.003638142,282.1285119,66284.71723,0.010994382,7.74E-06,0.00364658,0.577768863,34573.52406,0.577768863,0.577165909,3.36E-07,21.34016587,,
2,1.17E+07,3.00E-08,1.900944166,0.647782833,0.02736858,284.2323277,65914.13873,1,0.012717424,284.2225198,65906.16788,255.7677423,1.002281772,284.1777268,65858.73749,0.012710852,6.58E-06,0.002331695,0.353711893,9.172684225,0.353711893,0.353689124,3.10E-07,22.93258544,,
3,5.40E+07,2.78E-07,1.805388176,0.654202521,6.631393175,281.410552,90347.7698,1,0.007614525,281.4007991,90336.77093,16.28617052,1.024776272,280.6533896,89162.67356,0.007508008,0.000401717,0.024787531,1,0,1,0.633522872,1.36E-05,2.592915165,,
4,1.09E+08,8.09E-09,1.643876516,1.175236714,1.597011135,257.0189838,56691.60425,1,0.001916802,257.0092166,56684.06056,28.17763697,1.021107764,256.6051022,56349.66367,0.001902243,1.46E-05,0.021142131,0.513609194,0,0.513609194,0.513609194,1.43E-07,30.36926249,,
5,7.93E+07,3.77E-09,1.699149196,0.714889324,5.803663356,277.8323843,89334.57061,1,0.006002128,277.8225977,89323.55193,22.57195016,1.052237512,276.7289883,87899.27201,0.005939365,6.28E-05,0.052259848,0.328681044,0,0.328681044,0.328681044,7.19E-08,88.64153205,,
6,8.88E+08,1.13E-07,1.625293351,0.769016381,5.713801296,288.5886179,65167.1551,1,0.017214114,288.5789846,65159.41314,4.550385751,1.005691474,288.4095985,64954.59901,0.017169109,9.85E-05,0.005696575,0.999855772,8.44E+07,0.999855772,0.630158316,2.31E-06,3.701871237,,
7,2.30E+09,7.02E-07,1.603935654,1.05341028,0.423149185,296.8933185,85828.06529,1,0.022054957,296.8900714,85819.72707,18.90586177,1.000015137,296.8630407,85747.49999,0.02203519,0.588745302,1.52E-05,0.304396169,0,0.304396169,0,1.86E-05,5.719350538,,
8,9.31E+08,4.43E-07,1.955630872,1.265405079,6.165979565,309.7563186,71489.23685,1,0.058447242,309.7489618,71481.62708,6.649389536,1.000638532,309.5985726,71107.15226,0.058280053,0.486939521,0.000641701,0.997696247,0,0.997696247,0,1.12E-05,11.14607621,,
9,2.71E+07,2.48E-08,1.88658002,0.179262188,0.319634162,284.0680337,79981.7723,1,0.010327778,284.058227,79972.10353,68.82868805,1.007631071,283.8911459,79768.75295,0.010312029,1.58E-05,0.007649919,0.45585203,0,0.45585203,0.45585203,2.11E-07,35.42944498,,
