simulation_id,mode_N,mode_mean,mode_stdev,mode_kappa,velocity,initial_temperature,initial_pressure,mac,initial_vapor_mix_ratio,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,act_frac,act_rate
0,1492072584.3313534,1.4732576700216484e-08,1.731800586199386,0.6123280330553589,0.28529766942278,257.85331849779215,91086.8440606863,1,0.0012772369674433,257.83382303592185,91062.6945716588,31.54599901993234,1.0045291464772252,257.7708612340932,90979.18858377424,0.0012758032875644,1.4338127349874432e-06,0.4904492312183262,0.148,4499705.787085835
1,855320721.488899,5.574092511828961e-07,1.7011882847289124,0.4057025465988217,0.5994100148803093,278.525121372479,70009.45017839845,1,0.0080644737350692,276.16896236245043,66331.62045650852,1668.3071273002956,1.000175788499093,272.56587322476105,61329.5479872884,0.0060011249447645,0.0020659569479935,0.0530125604597309,0.998,0.0
2,4377216854.327596,1.0778172648130721e-08,1.7227958447536549,0.128246524150412,0.0244190203785381,257.14748911014004,61303.21898459889,1,0.0017913143337144,257.1427203816209,61299.237208313,270.0,1.0036907985521712,257.0854367477318,61249.437995468914,0.0017902311657955,1.08328455058909e-06,0.3806958080647904,0.002,0.0
3,22773628.692752227,1.1684580309108787e-07,1.6947919916397725,0.7335190048350871,0.0142626072322318,305.0218453730491,94205.12842082651,1,0.0328119199429065,305.0201619781101,94202.13501766972,210.0,1.0005897355421254,305.0031589813218,94172.8637466218,0.0328076288427562,4.291627914497757e-06,0.0630734355648199,0.752,38828.61264799255
4,91777659.2334002,3.7993920127786714e-09,1.6937425844212577,0.4277821275205634,0.2749783475334286,304.17721386163083,64153.54172125447,1,0.0469184847261223,304.15724414013744,64138.79449284956,170.9225487082627,1.0160412639632277,303.781154853726,63793.90796138492,0.0468666978650307,5.178990119767008e-05,1.6384484796812426,0.02,0.0
5,13400103.325718176,2.868995742419524e-07,1.6644101341383364,0.7844869056436007,0.1061344094020226,297.0019076816101,53272.85077478548,1,0.036571738973238,296.98667460209805,53260.03108984012,122.48619531821934,1.002212921282134,296.91921792992184,53181.4541884478,0.0365314759658487,4.027238496126958e-05,0.2583848417369472,1.0,69736.8822722669
6,97212827.14461131,6.540296126847969e-08,1.679645451479424,0.1231055585254003,1.5792242969857642,290.0843964187055,68461.29415908692,1,0.0180490088999356,290.06476477526843,68445.02451915102,17.097001389564735,1.0083248692968387,289.8755392867296,68235.9288883059,0.0180181839009072,3.0827148483620725e-05,0.8660499362414198,0.955,188714.31121193335
7,16598773.427251233,3.097499954075134e-08,1.6641846030599592,0.2102695992526876,0.1304273898313264,258.3261608316836,91004.50865725688,1,0.0013293846139236,258.30663369023245,90980.42039742514,130.34072077946996,1.0073277430047736,258.174080228894,90801.29581422292,0.0013253950633472,3.9897573036571164e-06,0.7737067796993458,0.593,3530.450431815757
8,77458793.67356782,7.192159672594279e-09,1.6077345562943972,0.163164467219842,0.2428329666813153,290.382507570661,78175.49023644866,1,0.0160572193415327,290.3628382380925,78156.94923804636,156.4861662702896,1.0143743876740192,290.06243469152207,77821.18331243022,0.0160333453710322,2.3875227076421374e-05,1.469742282539821,0.032,0.0
9,271793439.2113321,2.3218462058858994e-07,1.7630692309300178,0.6996672944027813,0.1835277201268692,262.4754833948162,73276.03420351967,1,0.0023135504244703,262.3168068323959,73063.66715876266,1018.9196480549712,1.0005430490331526,261.09770456305444,71479.22408312913,0.0021247580333774,0.0001888631882955,0.0904207724549577,0.975,154062.71699966636
10,102419218.55564465,1.8092431906255161e-07,1.6635007469794008,0.6855353520612312,0.1950067406021724,264.1225275515346,58599.72493888386,1,0.0032999729086523,264.107760833421,58584.497172081465,66.6643622669481,1.0017400230071336,264.0217979382275,58498.20269106929,0.0032853125997611,1.4671515284674588e-05,0.2120549579506025,0.998,880213.4684685284
11,254276173.9100909,4.0493307652414817e-07,1.7942558420701142,0.3119472514553592,0.0621822394605067,281.5688046562559,100269.56762790582,1,0.006927603093411,281.18982151394613,99346.1078419468,16080.0,1.0002572062127062,276.33811708266126,88743.27428383275,0.0054354856720442,0.0014924247183845,0.0460604541089537,0.958,0.0
