simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
0,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,1e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,6.953771591186523,293.9902175597494,99988.30395808186,24.0,1.0037522647242538,293.9082987417945,99861.89808850044,0.01571203069844818,8.403708899707521e-06,0.003759033523848432,0.8049388401734157,0.8098067535815452,0.8021176333032334,2.889800338375646e-08,8.601844774097626e-07,6.958430119957654,0.0,0.0,0.0,,7.153227528866067e-10,4.110257870594214
1,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,1.2067926406393263e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,6.987884759902954,293.99021755974917,99988.30395808179,24.0,1.0037522647245878,293.90829874179053,99861.89808850082,0.015712030698449536,8.403708903102446e-06,0.0037590335242050354,0.8049388401734157,0.8098067536059355,0.8021176333032334,2.889800338375646e-08,8.601844775744866e-07,6.958430119585733,0.0,0.0,0.0,,9.492408417614016e-10,4.114553058444256
2,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,1.4563484775012444e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,9.46737790107727,293.9902175597497,99988.30395808193,24.0,1.0037522647249573,293.90829874178553,99861.89808849948,0.015712030698450723,8.403708913070645e-06,0.0037590335245349937,0.8049388401734157,0.8098067536285032,0.8021176333032334,2.889800338375646e-08,8.601844774376165e-07,6.958430119293365,0.0,0.0,0.0,,1.260073781704077e-09,4.1203442051319215
3,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,1.7575106248547893e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.0082056522369385,293.9902175597511,99988.30395808238,24.0,1.0037522647244836,293.9082987417915,99861.89808849973,0.015712030698448995,8.403708940692881e-06,0.0037590335240857975,0.8049388401734157,0.8098067535977792,0.8021176333032334,2.889800338375646e-08,8.601844773356579e-07,6.958430119009858,0.0,0.0,0.0,,1.6734529655849397e-09,4.128200049939643
4,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,2.1209508879201927e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.0309343338012695,293.9902175597538,99988.3039580832,24.0,1.0037522647244863,293.9082987417914,99861.89808849954,0.015712030698448957,8.403709001184276e-06,0.003759033523938804,0.8049388401734157,0.8098067535877241,0.8021176333032334,2.889800338375646e-08,8.601844771610724e-07,6.958430118668968,0.0,0.0,0.0,,2.223841999897959e-09,4.138948808916146
5,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,2.559547922699533e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.111734867095947,293.9902175597629,99988.30395808595,24.0,1.0037522647235988,293.908298741801,99861.89808849608,0.01571203069844479,8.403709146155874e-06,0.00375903352289253,0.8049388401734157,0.8098067535161667,0.8021176333032334,2.889800338375646e-08,8.601844760904218e-07,6.95843011775208,0.0,0.0,0.0,,2.9578520431132626e-09,4.1538403569123945
6,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,3.088843596477485e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.049569606781006,293.9902175597909,99988.30395809434,24.0,1.0037522647207537,293.9082987418324,99861.89808848736,0.015712030698431686,8.40370948727921e-06,0.003759033519422861,0.8049388401734157,0.809806753278875,0.8021176333032334,2.889800338375646e-08,8.601844730525531e-07,6.958430113115961,0.0,0.0,0.0,,3.9391002833036615e-09,4.1748629806278315
7,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,3.727593720314938e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,9.382018804550171,293.990217559878,99988.3039581205,24.0,1.0037522647092347,293.9082987419598,99861.89808845326,0.015712030698378555,8.403710304904459e-06,0.0037590335055128765,0.8049388401734157,0.80980675232753,0.8021176333032334,2.889800338375646e-08,8.601844616011569e-07,6.9584301015388315,0.0,0.0,0.0,,5.255759222130671e-09,4.2054523766788
8,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,4.498432668969453e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.015818119049072,293.9902175601501,99988.30395820222,24.0,1.003752264661491,293.9082987424962,99861.89808833422,0.015712030698163033,8.403712301530929e-06,0.0037590334488426524,0.8049388401734157,0.8098067484517413,0.8021176333032334,2.889800338375646e-08,8.60184418915102e-07,6.958430063717936,0.0,0.0,0.0,,7.0337617064729816e-09,4.252476200238291
9,99999999.99999999,5e-08,2.0,0.54,99999999.99999999,5.4286754393238595e-09,2.0,0.54,0.5,294.0,100000.0,0.015720275224661653,PySDM,False,7.005428314208984,293.99021756100296,99988.30395845837,24.0,1.0037522644082084,293.9082987453829,99861.8980878292,0.01571203069704016,8.403717574411822e-06,0.0037590331540484634,0.8049388401734157,0.8098067282903557,0.8021176333032334,2.889800338375646e-08,8.601842245403678e-07,6.958429949958294,0.0,0.0,0.0,,9.468726961025443e-09,4.335346279086879
