simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
0,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.01,294.0,100000.0,0.015720275224661653,PySDM,False,8.006579399108887,293.99594425463926,99990.0239962118,3900.0,1.000109127577241,293.8466195542171,99547.8978097821,0.01564320923448613,0.00015836822575126218,0.00010949324680020744,0.2839915855933849,0.2884155070931004,0.0,3.041642187224061e-07,2.3631421438106274e-06,4.528911088719327,0.0,0.0,0.0,,6.428965217768895e-08,4.132047521340956
1,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.011513953993264475,294.0,100000.0,0.015720275224661653,PySDM,False,8.33443808555603,293.99584815927824,99989.9951335834,3039.789808129735,1.0001179447761577,293.86221203868075,99594.43583598368,0.01565124550786701,0.0001503315483505277,0.00011815489092970033,0.2839915855933849,0.3146646062753574,0.0,3.041642187224061e-07,2.363124506382853e-06,4.496502622040109,0.0,0.0,0.0,,6.433323451376021e-08,4.134965822691565
2,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.013257113655901088,294.0,100000.0,0.015720275224661653,PySDM,False,8.158734321594238,293.9957399110297,99989.96262078664,2413.798420273479,1.0001275782867307,293.87386607965635,99629.34916741111,0.01565728363675397,0.0001442931159831586,0.00012781914058068722,0.3172134798016291,0.34255344455843706,0.0,2.8516492295207875e-07,2.366967022519516e-06,4.470060636269723,0.0,0.0,0.0,,6.438173815815242e-08,4.138266600666488
3,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.015264179671752334,294.0,100000.0,0.015720275224661653,PySDM,False,10.583892107009888,293.99561533571546,99989.92520408936,1834.3599592067433,1.0001383556944106,293.8894248756417,99675.91379074097,0.015665324092063435,0.00013625225656129742,0.00013863258847135462,0.3519042285007644,0.37231083247382224,0.0,2.6735239806915096e-07,2.3642871626547643e-06,4.430604089741018,0.0,0.0,0.0,,6.443664015247215e-08,4.141992430456133
4,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.017575106248547922,294.0,100000.0,0.015720275224661653,PySDM,False,7.69453501701355,293.9954784113168,99989.88407829628,1422.4665072545745,1.000150439186946,293.9010417512304,99710.84699913357,0.015671369368933433,0.00013020667594058452,0.00015076088900389806,0.3878166840188844,0.40387042111037885,0.0,2.506525136870971e-07,2.365823807183162e-06,4.397431236176239,0.0,0.0,0.0,,6.449826920040998e-08,4.146237350142741
5,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.020235896477251575,294.0,100000.0,0.015720275224661653,PySDM,False,7.616098642349243,293.99532536235193,99989.83810942511,1087.1769394912433,1.000164033972554,293.9126370924322,99745.78869430485,0.015677419598213758,0.0001241561426887948,0.0001644047866919962,0.4246735725175335,0.43715114987485226,0.0,2.3499576989546987e-07,2.365791555698939e-06,4.36047622706686,0.0,0.0,0.0,,6.456827204434536e-08,4.1510874630859
6,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.023299518105153717,294.0,100000.0,0.015720275224661653,PySDM,False,7.429859161376953,293.9951554425849,99989.78707334028,815.467509424468,1.0001793693233803,293.92420809510804,99780.73881592255,0.015683475711253766,0.00011809972539232762,0.00017979893403285985,0.4621738414442758,0.4720045275992849,0.0,2.2031700802212008e-07,2.3634526865139195e-06,4.319183419550175,0.0,0.0,0.0,,6.464812082161941e-08,4.156656766312171
7,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.02682695795279726,294.0,100000.0,0.015720275224661653,PySDM,False,7.406678199768066,293.9949681105837,99989.73080741931,596.4149952503903,1.0001967381426413,293.93575116904543,99815.69726280072,0.015689538893766786,0.00011203623823471242,0.00019721906377756504,0.5,0.5082230439616015,0.0,2.065551394623404e-07,2.3576951426392857e-06,4.272911040961572,0.0,0.0,0.0,,6.473970557471357e-08,4.163089176213379
8,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.030888435964774818,294.0,100000.0,0.015720275224661653,PySDM,False,7.217535018920898,293.99476388542564,99989.66946756761,453.2440559944702,1.0002164223353587,293.94334645285477,99839.00714313668,0.015693613523854198,0.0001079614034931201,0.0002169840314569793,0.5378261585557242,0.5455248561000362,0.0,1.9365289144641643e-07,2.3591531727856745e-06,4.23543792346886,0.0,0.0,0.0,,6.484504153660115e-08,4.170579056250721
9,99999999.99999999,2e-07,2.0,0.54,99999999.99999999,2e-08,2.0,0.54,0.03556480306223128,294.0,100000.0,0.015720275224661653,PySDM,False,9.910371780395508,293.9945437776312,99989.60335729687,337.4122437569077,1.000238832818794,293.9509071506397,99862.32049739984,0.015697698743243896,0.00010387597883287499,0.00023947700190407595,0.5753264274824665,0.5836056483770359,0.0,1.815565686875343e-07,2.3577839367494843e-06,4.193661044366328,0.0,0.0,0.0,,6.49674195394951e-08,4.179350419341519
