simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,mode_2_N,mode_2_mean,mode_2_stdev,mode_2_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev,mode_2_act_frac_S,mode_2_act_frac_S_interp,mode_2_act_frac_V,mode_2_smallest_dry_radius_activated,mode_2_wet_radius_mean,mode_2_wet_radius_stdev
0,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.01,294.0,100000.0,0.015720275224661653,PySDM,False,69.72398138046265,293.995944254854,99990.02399627627,3900.0,1.0001091275816454,293.8466195542167,99547.89780993604,0.015643209234531563,0.00015836822570604255,0.00010949324999409704,0.0,0.0,0.0,,6.428965478593052e-08,4.132047708575628,0.2839915855933849,0.2884155167616799,0.0,3.041642187224061e-07,2.363142297244022e-06,4.528910889901972
1,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.011513953993264475,294.0,100000.0,0.015720275224661653,PySDM,False,37.31495475769043,293.9958481593451,99989.99513360349,3039.789808129735,1.0001179447825193,293.86221203859856,99594.43583596377,0.01565124550789112,0.00015033154832685188,0.00011815489578270721,0.0,0.0,0.0,,6.433323432006659e-08,4.134965760223319,0.2839915855933849,0.3146646209676053,0.0,3.041642187224061e-07,2.3631244189584654e-06,4.496502899840121
2,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.013257113655901088,294.0,100000.0,0.015720275224661653,PySDM,False,35.126965045928955,293.99573991115017,99989.96262082284,2413.798420273479,1.0001275782870997,293.87386607965703,99629.34916742916,0.015657283636757658,0.00014429311597946728,0.00012781913984971638,0.0,0.0,0.0,,6.438173959074487e-08,4.138266833671062,0.3172134798016291,0.3425534424605868,0.0,2.8516492295207875e-07,2.366966953193925e-06,4.470060769204479
3,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.015264179671752334,294.0,100000.0,0.015720275224661653,PySDM,False,33.98020315170288,293.99561533568885,99989.92520408133,1834.3599592067433,1.0001383556974721,293.8894248756007,99675.91379072877,0.01566532409207407,0.0001362522565502923,0.00013863259104462955,0.0,0.0,0.0,,6.44366347869069e-08,4.141992132174918,0.3519042285007644,0.3723108394146058,0.0,2.6735239806915096e-07,2.36428709169368e-06,4.430604234024649
4,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.017575106248547922,294.0,100000.0,0.015720275224661653,PySDM,False,33.08769512176514,293.9954784114857,99989.884078347,1422.4665072545745,1.0001504391814415,293.90104175129517,99710.84699912932,0.015671369368909685,0.0001302066759641237,0.00015076087788501447,0.0,0.0,0.0,,6.449826681388243e-08,4.146237312305842,0.3878166840188844,0.4038703931679093,0.0,2.506525136870971e-07,2.365823882000873e-06,4.397431074620439
5,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.020235896477251575,294.0,100000.0,0.015720275224661653,PySDM,False,34.468433141708374,293.9953253623378,99989.83810942093,1087.1769394912433,1.000164033974435,293.91263709240246,99745.78869428189,0.015677419598218296,0.00012415614268432426,0.00016440477966406242,0.0,0.0,0.0,,6.456827004435381e-08,4.15108745179022,0.4246735725175335,0.43715113356107044,0.0,2.3499576989546987e-07,2.365791426628375e-06,4.360476475477193
6,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.023299518105153717,294.0,100000.0,0.015720275224661653,PySDM,False,33.12872076034546,293.9951554428815,99989.78707342938,815.467509424468,1.0001793693135856,293.9242080952493,99780.73881599105,0.015683475711224967,0.00011809972542087179,0.00017979894162234444,0.0,0.0,0.0,,6.464811784408859e-08,4.156656526731007,0.4621738414442758,0.4720045437320216,0.0,2.2031700802212008e-07,2.3634526763350263e-06,4.319183446495714
7,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.02682695795279726,294.0,100000.0,0.015720275224661653,PySDM,False,39.95010232925415,293.9949681106637,99989.73080744328,596.4149952503903,1.000196738150359,293.93575116895903,99815.69726282277,0.015689538893801876,0.00011203623819954103,0.00019721907634062674,0.0,0.0,0.0,,6.473969953438647e-08,4.163088916810987,0.5,0.5082230682047767,0.0,2.065551394623404e-07,2.35769505976443e-06,4.272911172749627
8,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.030888435964774818,294.0,100000.0,0.015720275224661653,PySDM,False,35.07794809341431,293.99476388522294,99989.66946750673,453.2440559944702,1.0002164223159262,293.9433464530674,99839.00714307075,0.015693613523762643,0.00010796140358493913,0.00021698402162306785,0.0,0.0,0.0,,6.48450394358677e-08,4.170578728634545,0.5378261585557242,0.5455248390212324,0.0,1.9365289144641643e-07,2.3591533090359525e-06,4.235437570810603
9,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.03556480306223128,294.0,100000.0,0.015720275224661653,PySDM,False,35.560537338256836,293.99454377775356,99989.60335733363,337.4122437569077,1.0002388328367158,293.95090715041647,99862.32049738122,0.01569769874331434,0.00010387597876247759,0.00023947701799209575,0.0,0.0,0.0,,6.4967423475155e-08,4.179350470746092,0.5753264274824665,0.5836056733068608,0.0,1.815565686875343e-07,2.357783967727208e-06,4.193661021153283
10,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.040949150623804255,294.0,100000.0,0.015720275224661653,PySDM,False,34.414623737335205,293.99430991644823,99989.53311613297,244.20530945486513,1.0002644036870525,293.958427874957,99885.63696875193,0.015701796273865996,9.977824203768756e-05,0.0002651376174842568,0.0,0.0,0.0,,6.511056513153545e-08,4.189706896564106,0.6121833159811155,0.6220918941613185,0.0,1.7021582991809894e-07,2.3519931664389e-06,4.1472283781109285
11,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.04714866363457394,294.0,100000.0,0.015720275224661653,PySDM,False,33.1590301990509,293.994064816182,99989.4594992551,190.88557991281715,1.0002939942597795,293.96198385769793,99897.29571269764,0.01570391369073796,9.766071864398581e-05,0.0002944666979414201,0.0,0.0,0.0,,6.527892463227554e-08,4.202058109401329,0.6480957714992356,0.6605525276721645,0.0,1.595834783844783e-07,2.359771839461226e-06,4.112506556896532
12,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.054286754393238594,294.0,100000.0,0.015720275224661653,PySDM,False,30.91465973854065,293.9938119966415,99989.38356385008,147.3655975461373,1.000327424092777,293.9654926370201,99908.95445963388,0.015706046574070685,9.552772735281357e-05,0.00032801844097241073,0.0,0.0,0.0,,6.547899887744966e-08,4.216925352240588,0.6827865201983709,0.6985238923967616,0.0,1.4961526542826808e-07,2.365622353336281e-06,4.074030093914373
13,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.06250551925273973,294.0,100000.0,0.015720275224661653,PySDM,False,36.19035243988037,293.99355221000076,99989.30553583341,111.99011037242407,1.0003656703392936,293.96894165827854,99920.611076547,0.015708198571172085,9.337561906776236e-05,0.0003663164997251833,0.0,0.0,0.0,,6.571867956963567e-08,4.235013974081133,0.7160084144066151,0.7354371671239385,0.0,1.4026970633664474e-07,2.368036694557235e-06,4.03197652400915
14,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.07196856730011521,294.0,100000.0,0.015720275224661653,PySDM,False,37.636908769607544,293.99329477732476,99989.2282148269,97.26468460611963,1.0004088671186642,293.96841790239466,99920.60926077944,0.01570837564953143,9.319853151867613e-05,0.00040991770174469977,0.0,0.0,0.0,,6.600698486371424e-08,4.257268760984331,0.7475495444526249,0.7707520850090626,0.0,1.3150790769543437e-07,2.397836447574977e-06,4.001901926310176
15,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.08286427728546843,294.0,100000.0,0.015720275224661653,PySDM,False,37.84229040145874,293.9930404075879,99989.15181377273,84.47548484475301,1.0004577565966322,293.9678250016629,99920.60676026242,0.015708575979345097,9.29981908891282e-05,0.00045930701872576307,0.0,0.0,0.0,,6.636044555150919e-08,4.285284745052877,0.7772369504223727,0.8039371649825744,0.0,1.2329340552638482e-07,2.4307038647612267e-06,3.9668212210031206
16,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.09540954763499938,294.0,100000.0,0.015720275224661653,PySDM,False,39.52557682991028,293.9927927767896,99989.07743677369,73.367919390828,1.0005130363954966,293.96715432036854,99920.60298359641,0.01570880232072351,9.277183661493951e-05,0.0005151590769660874,0.0,0.0,0.0,,6.680894041734872e-08,4.322160474510935,0.8305653040767874,0.8339827367612831,0.0,1.0837168083756321e-07,2.4668809686721952e-06,3.9259955113281277
17,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.10985411419875583,294.0,100000.0,0.015720275224661653,PySDM,False,29.92512273788452,293.9925542359788,99989.00578997836,63.72087245940653,1.000575699010884,293.96639351902564,99920.59693232687,0.015709058573727362,9.251556798334287e-05,0.0005781916453742042,0.0,0.0,0.0,,6.740274175093211e-08,4.3733872145876,0.8540675904729313,0.8611986759343999,0.1568430686741801,1.0160235857471184e-07,2.506480258936533e-06,3.878740080754915
18,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.12648552168552957,294.0,100000.0,0.015720275224661653,PySDM,False,29.3903706073761,293.9923274954235,99988.93768742942,55.34230247635392,1.0006464603550693,293.96553349418537,99920.58725738332,0.015709347441341552,9.222668132605283e-05,0.000649171870421128,0.0028212068701822784,0.005723765561640939,0.0,9.712353394428591e-08,6.820346357308575e-08,4.445841860216229,0.8754360733541832,0.8856316114546323,0.20597181897369576,9.525587485735686e-08,2.549477403439822e-06,3.824483593636253
19,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.14563484775012436,294.0,100000.0,0.015720275224661653,PySDM,False,29.94091820716858,293.99211368707887,99988.87346911636,48.06541915030101,1.0007263539206672,293.964561112343,99920.57204367711,0.015709672831779244,9.190126755716687e-05,0.0007288471205868507,0.01053051666040452,0.010720759151377861,0.0028212068701822784,8.536904774014001e-08,6.924272828048727e-08,4.54255718942337,0.8946970987874001,0.9072347738601694,0.22734030185494755,8.930581752359826e-08,2.5955635560538206e-06,3.7629086780718564
20,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.16768329368110083,294.0,100000.0,0.015720275224661653,PySDM,False,29.460902214050293,293.99191416969967,99988.81354314949,41.7453632161625,1.0008163463288988,293.9634634069966,99920.54744036478,0.01571003804534412,9.15360255445663e-05,0.0008175558179059905,0.015655909804454672,0.016993362039760596,0.01053051666040452,8.003656059073495e-08,7.05056353766381e-08,4.6605237424564825,0.9119089371604489,0.925960576352161,0.2825137828062846,8.372742421925548e-08,2.643958070406038e-06,3.6943001629449923
21,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.19306977288832497,294.0,100000.0,0.015720275224661653,PySDM,False,29.35756015777588,293.9917292239198,99988.75799382046,41.4357974338497,1.000912644649308,293.9583920331538,99908.90884971482,0.015708441432329523,9.313273376304168e-05,0.0009176620827149318,0.021802612477841102,0.02478325354915894,0.015655909804454672,7.503716160327251e-08,7.25209708508115e-08,4.863127247218726,0.9405492124949053,0.9418735813021465,0.3518306631809677,7.359421743686563e-08,2.7744364126843577e-06,3.6048701711388587
22,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.22229964825261944,294.0,100000.0,0.015720275224661653,PySDM,False,30.390259742736816,293.9915596132267,99988.7070504486,35.98746135175557,1.001026589935974,293.9570027420352,99908.87832923402,0.015708903865437617,9.267026510639734e-05,0.0010290889694635208,0.02911062614417005,0.03421367801225767,0.02911062614417005,7.035004477850379e-08,7.4430206568899e-08,5.039078785438931,0.9522098872039217,0.9551575067594493,0.36522278501243877,6.899723259117329e-08,2.838427483075639e-06,3.5119720806259043
23,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.2559547922699536,294.0,100000.0,0.015720275224661653,PySDM,False,30.80861258506775,293.9914041372964,99988.66035251242,31.255519496436932,1.0011519961285023,293.95547087171707,99908.83572498927,0.015709411208615513,9.216288017545225e-05,0.0011532900725701456,0.037724502926570175,0.04550866614680217,0.037724502926570175,6.595570374188644e-08,7.65108106313434e-08,5.2221562535822335,0.9622754970734299,0.9663116794323043,0.3400265712228062,6.468739353502135e-08,2.903273463287743e-06,3.4120656341397972
24,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.29470517025518095,294.0,100000.0,0.015720275224661653,PySDM,False,29.890644311904907,293.9912641778139,99988.61831501019,30.53899594705797,1.0012890629357458,293.94990507506174,99897.19329474035,0.015707980755022853,9.359341969649113e-05,0.0012921070593856498,0.04779011279607823,0.05891499423308357,0.04779011279607823,6.183585056390355e-08,8.016289271931762e-08,5.571384610011206,0.97088937385583,0.9755963847585275,0.3955629463733635,6.064676401079355e-08,3.0854477286726103e-06,3.2623182081401723
25,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.3393221771895328,294.0,100000.0,0.015720275224661653,PySDM,False,34.57239627838135,293.99113694527796,99988.58010010248,29.47051702551811,1.0014396452916023,293.94417347813305,99885.5445568306,0.015706604272362888,9.496998270938037e-05,0.0014462111012905066,0.07284290933656584,0.07460140794046849,0.05945078750509473,5.435209639169662e-08,8.458312719796249e-08,5.981747752813938,0.9781973875221589,0.9831892023866087,0.4403712289664347,5.6858528130208725e-08,3.2934122268787655e-06,3.086425318303571
26,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.3906939937054617,294.0,100000.0,0.015720275224661653,PySDM,False,31.36183524131775,293.99102299397043,99988.54587427239,25.595479226995362,1.001615507045647,293.94202670018234,99885.48534618692,0.015707315504238973,9.425869457586807e-05,0.0016177987212075973,0.08809106283955118,0.09272902416308344,0.08809106283955118,5.095705025701098e-08,8.780026368486246e-08,6.222371957814894,0.9843440901955454,0.9893517775233441,0.4090176627130788,5.330692039163637e-08,3.3863837975434884e-06,2.9420362505850175
27,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.44984326689694465,294.0,100000.0,0.015720275224661653,PySDM,False,34.40440583229065,293.9909210471558,99988.51525404716,24.452961307788144,1.0018045440744188,293.9358274993951,99873.82762656425,0.015706094654574034,9.54796137971146e-05,0.0018082122410569834,0.10530290121259983,0.11333627392388085,0.10530290121259983,4.777407208330301e-08,9.351595490526515e-08,6.70028238182848,0.9937064427816025,0.9941319130425381,0.45164332478387126,4.685538969786617e-08,3.6321342489090993e-06,2.724565729444548
28,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.517947467923121,294.0,100000.0,0.015720275224661653,PySDM,False,34.59766435623169,293.9908302895441,99988.48799455156,23.168372746599005,1.0020136319063426,293.9293837772606,99862.16317257861,0.015704954391513225,9.661993985261909e-05,0.002019465602472792,0.12456392664581686,0.1365033638559318,0.12456392664581686,4.4789915269999477e-08,1.001067560396971e-07,7.2129103813414766,0.9971787931298177,0.9979126618113576,0.45935263457409353,4.3928617406756666e-08,3.897231651010693e-06,2.488071685177744
29,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.5963623316594643,294.0,100000.0,0.015720275224661653,PySDM,False,30.838668823242188,293.99074949019337,99988.4637260667,21.7988281785431,1.0022462610123948,293.9226534969866,99850.49178915324,0.01570390893495003,9.766545211145534e-05,0.002253054753187156,0.14593240952706865,0.16218135442703904,0.14593240952706865,4.199216065140237e-08,1.07447268500544e-07,7.742960139832277,1.0,1.0,0.5,4.11846628469529e-08,4.185415346020298e-06,2.2230907652074423
30,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.6866488450043002,294.0,100000.0,0.015720275224661653,PySDM,False,30.017241716384888,293.990677884565,99988.44221896038,20.388878685017414,1.0025044431060899,293.915612482841,99838.81307041418,0.015702966389734965,9.860804548939937e-05,0.0025113519586361654,0.1694346959232126,0.19034278986813302,0.1694346959232126,3.9369164811844975e-08,1.1527602972594545e-07,8.262914201656116,1.0,1.0,0.5,4.11846628469529e-08,4.405887503306383e-06,2.066226766428404
31,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.7906043210907697,294.0,100000.0,0.015720275224661653,PySDM,False,30.896076679229736,293.9906145790142,99988.42320482242,18.972828252829448,1.0027911131803213,293.9082250823911,99827.12546927581,0.015702138431525656,9.943604336781233e-05,0.0027970408284552217,0.1950611598265843,0.22091472171263757,0.1950611598265843,3.691001162928851e-08,1.2359791194772644e-07,8.761820015010406,1.0,1.0,0.5,4.11846628469529e-08,4.524719967383194e-06,2.012642388054702
32,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,0.9102981779915218,294.0,100000.0,0.015720275224661653,PySDM,False,29.735987663269043,293.99055872983917,99988.40643024318,17.576658271800934,1.003108394176345,293.9004660420952,99815.42898674065,0.015701433651873396,0.0001001408536730319,0.0031126488964337007,0.25245045554737516,0.253679462990619,0.22276304957762727,3.244293547511752e-08,1.3252326236369922e-07,9.236179095994187,1.0,1.0,0.5,4.11846628469529e-08,4.609065727374203e-06,1.9794102632146606
33,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,1.0481131341546852,294.0,100000.0,0.015720275224661653,PySDM,False,39.123483419418335,293.9905095499577,99988.39165881896,16.219623097949906,1.0034580758690217,293.89231407819835,99803.72326137306,0.01570085919416136,0.00010071533257725056,0.0034607480679131886,0.2839915855933849,0.2883269445290611,0.2839915855933849,3.041642187224061e-08,1.423273467577369e-07,9.6847910812637,1.0,1.0,0.5,4.11846628469529e-08,4.6707495793801725e-06,1.9565922894060728
34,99999999.99999999,2e-08,2.0,0.54,99999999.99999999,2e-07,2.0,0.54,1.2067926406393288,294.0,100000.0,0.015720275224661653,PySDM,False,41.89024043083191,293.9904663759498,99988.3786912885,15.744212684238997,1.0038388907412046,293.8798907983727,99780.41862760956,0.015698422720129748,0.00010315194419620286,0.0038446801944269637,0.3172134798016291,0.32465660768534754,0.3172134798016291,2.8516492295207877e-08,1.5904598633189288e-07,10.438131735363692,1.0,1.0,0.5378261585557242,4.11846628469529e-08,4.837030017062206e-06,1.9083725626239896
