simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
1,999999999.9999999,5e-08,1.8,0.030612244897959183,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,8.516435623168945,282.9902064152479,84989.69415951232,18.0,1.0037161224659756,282.92275533269157,84908.58772294837,0.009026855769627879,3.646524370398178e-06,0.0037262496527441513,0.2227630495025517,0.22887145877619233,0.2227630495025517,7.851296502161607e-08,1.2167582252467995e-07,7.450223677401632
2,999999999.9999999,5e-08,1.8,0.061224489795918366,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,6.989901542663574,282.99022251240126,84989.69838444813,16.0,1.0032689840149729,282.9316832755442,84918.81911279388,0.009027158467404872,3.3624569935826136e-06,0.003273883849841397,0.3004048048425358,0.3124023176574287,0.3004048048425358,6.847879565283847e-08,1.650732090955637e-07,6.4819658061774925
3,999999999.9999999,5e-08,1.8,0.09183673469387754,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.337903738021851,282.9902416507331,84989.7034075857,16.0,1.003016166817343,282.9340846137849,84918.96443365751,0.009026310481215044,4.234641181929026e-06,0.0030401218777509342,0.3519042283185029,0.3670850806644995,0.3519042283185029,6.308483256990834e-08,2.0302467354444682e-07,6.186947573533779
4,999999999.9999999,5e-08,1.8,0.12244897959183673,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,9.645622253417969,282.9902613607002,84989.70858075703,16.0,1.0028400284007646,282.93574100692575,84919.02958163683,0.009025713050971643,4.860706062668316e-06,0.0028815968597981634,0.40614541420218286,0.4071564599226017,0.38781668373531897,5.811574316448144e-08,2.3316304479224213e-07,5.941786727197222
5,999999999.9999999,5e-08,1.8,0.15306122448979592,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.457852840423584,282.99028118908575,84989.71378500875,16.0,1.0027068987621555,282.9369828382865,84919.05691404411,0.00902525747947596,5.348745518799103e-06,0.002761039419215461,0.42467357233228187,0.4383124701676668,0.42467357233228187,5.654793404635156e-08,2.583768760215262e-07,5.738668498359411
6,999999999.9999999,5e-08,1.8,0.18367346938775508,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.171312570571899,282.9903008442938,84989.71894380731,16.0,1.0026021514267651,282.93795440677746,84919.0664517747,0.009024896833413258,5.745284746323684e-06,0.002665091472233483,0.4621738413375298,0.46391637128063085,0.44336283378641367,5.353806082971245e-08,2.8025921679979245e-07,5.5671947699491104
7,999999999.9999999,5e-08,1.8,0.21428571428571427,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.113152503967285,282.99032019203855,84989.72402190743,14.0,1.0025823605910995,282.9428442127739,84929.0931184943,0.009026639356862614,4.041668397950251e-06,0.002586091246572053,0.4810664532562446,0.4855390712085762,0.4621738413375298,5.2093745479597113e-08,2.790293576741323e-07,5.078939343055581
8,999999999.9999999,5e-08,1.8,0.24489795918367346,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,9.143594980239868,282.9903391703611,84989.72900304712,14.0,1.0025137983241392,282.9434867826465,84929.11318739312,0.009026405757059363,4.317178165797865e-06,0.00251886352826447,0.5,0.5042021380016233,0.47973057981744077,5.068839393949385e-08,2.959905649947262e-07,4.973756487228297
9,999999999.9999999,5e-08,1.8,0.2755102040816326,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.452202320098877,282.9903577534842,84989.73388046074,14.0,1.0024535353000186,282.9440495871293,84929.12652952912,0.009026199645882185,4.567905582579709e-06,0.0024598725104354457,0.5189335467437555,0.520481524264716,0.49717879304410734,4.932095506881162e-08,3.1148571305394764e-07,4.880305230593457
10,999999999.9999999,5e-08,1.8,0.30612244897959184,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,7.031805515289307,282.9903759346993,84989.73865238759,14.0,1.002399576515107,282.9445518080757,84929.13478297538,0.009026014420180322,4.8002987348094445e-06,0.0024070011952332937,0.5189335467437555,0.5347145206085374,0.5126399893264967,4.932095506881162e-08,3.257707078847799e-07,4.796709060205671
