simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
0,9999999.999999998,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,44.39786148071289,282.9902020262271,84989.69300754841,68.0,1.0107355320538383,282.73634444455246,84649.20277813537,0.0090040754746995,2.6425351464444105e-05,0.010740769575977582,0.9916910508501094,0.9920664707582151,0.9916910508501094,1.4806115954145649e-08,6.587225542224356e-06,3.121627232292749
1,11513953.993264481,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.305427074432373,282.99020248868567,84989.69312892748,64.0,1.0100728731974076,282.7521627872076,84669.92855608324,0.009005559400749335,2.4942494219573512e-05,0.010079104415428919,0.987025952033084,0.9885819197107771,0.987025952033084,1.563850568141989e-08,5.647575089374778e-06,3.688228396935042
2,13257113.655901082,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.069981336593628,282.99020302109534,84989.69326866625,60.0,1.0094601313015183,282.7675340596236,84690.66915464507,0.009007214712770483,2.328841454295887e-05,0.009467200428124656,0.9843440928545513,0.9846514516593201,0.9843440928545513,1.6072088131685157e-08,5.005957647440877e-06,3.9484926362353083
3,15264179.671752334,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.11016297340393,282.99020373306774,84989.69345553388,56.0,1.008891157623308,282.782510977217,84711.41928457524,0.009009019667141925,2.1484883429824235e-05,0.008897944978886185,0.9781973870939549,0.9801297219810656,0.9781973870939549,1.6975649950199462e-08,4.295601190448264e-06,4.414373330776712
4,17575106.24854793,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.03436803817749,282.99020445360924,84989.69364465063,52.0,1.0083660155667584,282.7970918411358,84732.17853407987,0.00901097468676381,1.9531508131523752e-05,0.00837181171426904,0.9746975049384257,0.9751204118336207,0.9746975049384257,1.744630514259408e-08,3.791431989815304e-06,4.603745960032114
5,20235896.477251556,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,10.467368841171265,282.9902052830687,84989.69386235448,50.0,1.0078704200692212,282.8065047881326,84742.52806568814,0.009011144467931123,1.9363732884860246e-05,0.007883146914528183,0.9667547942347001,0.9694567640120502,0.9667547942347001,1.842712450295587e-08,3.356839115568832e-06,5.012273886918224
6,23299518.105153717,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,12.010508298873901,282.99020623788147,84989.69411295919,46.0,1.0074243760610002,282.8203694297713,84763.30192796154,0.009013370740139125,1.7139658405017745e-05,0.007432041892857066,0.9622754958587262,0.9632605454484888,0.9622754958587262,1.89380222802817e-08,2.9606787842122033e-06,5.120364463705939
7,26826957.95279727,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.449609756469727,282.9902073369527,84989.69440142659,44.0,1.0069991661885571,282.8291475371625,84773.66761197374,0.009013783247959596,1.6729797633788112e-05,0.007012874232391386,0.9522098882353461,0.9564211699769372,0.9522098882353461,2.0002704959373106e-08,2.623080798149275e-06,5.436761735772445
8,30888435.964774784,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.64261269569397,282.990208602027,84989.69473346398,40.0,1.0066172678215388,282.842423572221,84794.44102038993,0.009016227341911244,1.4288643060801099e-05,0.006623241460620211,0.9465876753944719,0.9489078769951699,0.9465876753944719,2.0557286196538393e-08,2.3051973440477427e-06,5.457932587219513
9,35564803.06223129,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.963941812515259,282.99021005810874,84989.6951156341,38.0,1.006257027417139,282.85061138737257,84804.81621498885,0.009016863361580814,1.3656125937813927e-05,0.006264945867636262,0.9405492125901657,0.9409222958872379,0.9405492125901657,2.112724337157011e-08,2.0723961734233024e-06,5.573084569435133
10,40949150.62380427,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.654643774032593,282.9902117339465,84989.6955554824,36.0,1.0059215442601688,282.8585752342426,84815.19718733025,0.009017585018547485,1.2938501761385127e-05,0.005931805119238964,0.9271570908546654,0.932195129070824,0.9271570908546654,2.2315002565310208e-08,1.8644608067318344e-06,5.713102889827828
11,47148663.6345739,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.051782131195068,282.9902136625874,84989.6960616826,34.0,1.0056113618832732,282.8663075183078,84825.5790401024,0.00901839339317438,1.2134770951643878e-05,0.005623096735277722,0.9197722033793315,0.9229116841662871,0.9197722033793315,2.293369297518986e-08,1.6972012147187127e-06,5.7285573347874
12,54286754.3932386,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.270756959915161,282.9902160597877,84989.69669086317,32.0,1.0053255669294223,282.87381443545615,84835.95767783505,0.009019284683009774,1.1248829539024751e-05,0.005336878024152947,0.911908936285586,0.9131269358398449,0.911908936285586,2.3569536769755752e-08,1.535366397467695e-06,5.726057724717822
13,62505519.25273976,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.756356716156006,282.99021864006204,84989.69736809416,30.0,1.0050607496912314,282.8811279415234,84846.33487200049,0.00902024752182708,1.0292151765329898e-05,0.005070573907148823,0.8946970985672171,0.9027491273067549,0.8946970985672171,2.4894600030405462e-08,1.373682375244967e-06,5.768940614610959
14,71968567.30011514,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,18.631193161010742,282.99022160870675,84989.69814725869,28.0,1.0048141479801986,282.88826975408756,84856.70316395769,0.009021271092608427,9.275678830895269e-06,0.004821604240077271,0.885327072595012,0.8916978806024084,0.885327072595012,2.558481058500987e-08,1.2463783628260978e-06,5.698194090248765
15,82864277.28546843,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.845066785812378,282.9902250237825,84989.69904359564,26.0,1.004586018941128,282.8952349579302,84867.05750623927,0.009022355423466992,8.19952522301549e-06,0.004591235551704598,0.8754360740638899,0.880249834168618,0.8754360740638899,2.6294157442632023e-08,1.1245429369911752e-06,5.603472077840592
16,95409547.63499944,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.804080247879028,282.9902289519017,84989.70007458839,26.0,1.004359762020703,282.897339722105,84867.10138758758,0.009021582125496131,8.98234841948706e-06,0.004377777531985316,0.8650177102332325,0.8684244389055495,0.8650177102332325,2.702317116324493e-08,1.0789541801387393e-06,5.666068926280784
17,109854114.19875573,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.34959077835083,282.9902334694465,84989.70126028454,24.0,1.0041687188874222,282.90396008862604,84877.44774694901,0.009022792442880657,7.782882940954499e-06,0.0041780505023094605,0.8540675901209366,0.8561575226710388,0.8540675901209366,2.7772397016762265e-08,9.65507024414972e-07,5.567034272696736
18,126485521.68552957,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.760932445526123,282.9902386639467,84989.7026236576,22.0,1.003984675827952,282.9105010961236,84887.76303735582,0.009024020932623573,6.5668970476576836e-06,0.003989526162729629,0.8425834563293586,0.8433647314390535,0.8305653042362311,2.854239539087638e-08,8.681723881564426e-07,5.404121043615907
19,145634847.75012445,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,16.268989086151123,282.9902446356331,84989.70419101464,22.0,1.00380372123467,282.9121975174155,84887.82323053748,0.009023406603841272,7.195732851009013e-06,0.0038142877243751983,0.8180154941048233,0.8302398285889345,0.8180154941048233,3.014702936704849e-08,8.379798149795999e-07,5.4351508186688955
20,167683293.681101,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.419538736343384,282.99025149918504,84989.70599245488,22.0,1.003617146274864,282.9139417997116,84887.87440376042,0.009022771119855505,7.8479166671704e-06,0.0036481132047672116,0.8049388405837365,0.8165366718021992,0.8049388405837365,3.098286516411661e-08,8.075962045090706e-07,5.4596576166220565
21,193069772.88832456,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,16.590255975723267,282.99025969236646,84989.70814287597,20.0,1.0034844784090673,282.91999983125334,84898.16874089335,0.009024172736608929,6.4654100398148995e-06,0.0034938694932786785,0.7913426841768562,0.8026793108454928,0.7913426841768562,3.184187476949448e-08,7.259006878365633e-07,5.251774483769547
22,222299648.25261912,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,16.008892059326172,282.9902687948974,84989.71053196922,20.0,1.0033209974327226,282.92153391819704,84898.22443679783,0.009023617683524587,7.042585738603785e-06,0.0033472033852333105,0.7772369505522697,0.7883525075674912,0.7759010771511735,3.272470068424933e-08,7.019163708461488e-07,5.259761964900138
23,255954792.2699533,5e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,13.570739269256592,282.9902792463142,84989.71327509737,18.0,1.0032034547420927,282.9274294857876,84908.47032789137,0.009025062430185131,5.623196220742858e-06,0.0032080767874895777,0.7626341804805559,0.7736372904815564,0.7581650286008144,3.3632003222990745e-08,6.275465233244709e-07,5.029274278716283
