simulation_id,mode_1_N,mode_1_mean,mode_1_stdev,mode_1_kappa,velocity,initial_temperature,initial_pressure,initial_vapor_mix_ratio,solver,reached_z_max,wall_time,saturation_temperature,saturation_pressure,time,RH,T,p,vapor_mix_ratio,water_mix_ratio,S_max,mode_1_act_frac_S,mode_1_act_frac_S_interp,mode_1_act_frac_V,mode_1_smallest_dry_radius_activated,mode_1_wet_radius_mean,mode_1_wet_radius_stdev
0,999999999.9999999,1e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.377478122711182,282.9901989703134,84989.69220547883,100.0,1.0255787251400776,282.5253808047303,84487.01213171544,0.009025160743895025,5.331436090433046e-06,0.025588318769482976,0.0,0.0,0.006293557417258754,,9.411291550211807e-10,8.365410893687626
1,999999999.9999999,1.2067926406393263e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.054983139038086,282.99019897031314,84989.69220547879,92.0,1.0226431657411081,282.5710740802587,84527.86956737925,0.009022650538227713,7.841772849637245e-06,0.022657397020164227,0.0,0.0,0.006293557417258754,,1.243298449096296e-09,8.162653986451371
2,999999999.9999999,1.4563484775012444e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,17.368930339813232,282.99019897031405,84989.692205479,98.0,1.0214549563854518,282.5668190863222,84496.06748709557,0.009012837478726067,1.7655342224417705e-05,0.02147386224816783,0.0,0.0,0.0044691518036144885,,1.5501372833737877e-09,6.9271647586880505
3,999999999.9999999,1.7575106248547893e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,18.43967342376709,282.99019897031695,84989.69220547978,120.0,1.023139126433293,282.4976174170943,84381.57189445497,0.008997714740335628,3.277886072457117e-05,0.023150345605162936,0.0,0.0,0.0028212069558926378,,1.9420927819939857e-09,5.733725418562139
4,999999999.9999999,2.1209508879201927e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.354166746139526,282.9901989703248,84989.69220548183,134.0,1.027350157572028,282.42595551374677,84309.94002702853,0.008998896839960706,3.1596696228938665e-05,0.02736461992411976,0.0028212069558926378,0.003460912058207122,0.0028212069558926378,7.990384575299316e-09,2.6238477480201274e-09,5.574480155104695
5,999999999.9999999,2.559547922699533e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,18.632344484329224,282.9901989703469,84989.69220548765,98.0,1.018599292340007,282.5921342934682,84494.98881448121,0.00900293851692743,2.755481308163131e-05,0.01860982505811748,0.0,0.0,0.00423695933992414,,3.4482477806044093e-09,5.425076291375709
6,999999999.9999999,3.088843596477485e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,21.57862663269043,282.9901989704127,84989.69220550489,78.0,1.0175095607492135,282.6511730650124,84599.31639429623,0.00901817979339487,1.2312749408730188e-05,0.017525548127101942,0.00830895227319931,0.008979580395149197,0.00830895227319931,1.0720173875932825e-08,5.329492311163232e-09,7.540848567595713
7,999999999.9999999,3.727593720314938e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,20.598329782485962,282.99019897061396,84989.69220555775,64.0,1.014182820744218,282.71538176713966,84671.47732372022,0.009019917189049783,1.0575266732249451e-05,0.014211547365623911,0.012974047028944535,0.013179503339841069,0.012974047028944535,1.2248428646280278e-08,7.645702768715375e-09,8.514698713298005
8,999999999.9999999,4.498432668969453e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,19.48604130744934,282.99019897123713,84989.6922057213,54.0,1.0115673849800815,282.76341591543945,84722.86559080803,0.009020277670147476,1.0214776828040461e-05,0.011583841720671284,0.0156559098107344,0.01851406939061736,0.0156559098107344,1.4382552785443054e-08,1.0488576705531118e-08,8.74902833848126
9,999999999.9999999,5.4286754393238595e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,17.44350528717041,282.99019897317567,84989.6922062301,44.0,1.009590359559748,282.805793104042,84774.53070710087,0.009022850601615017,7.64172922117334e-06,0.009603070176467554,0.025302492807972598,0.026356313155489634,0.025302492807972598,1.5989595259237987e-08,1.5170378100819206e-08,9.545017971125064
10,999999999.9999999,6.551285568595496e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,15.765808582305908,282.99019897922267,84989.69220781722,38.0,1.0080369174204504,282.8345663288439,84805.45229693754,0.009023106871268912,7.385494372857873e-06,0.008051259091053975,0.033245203423799136,0.0370914046719442,0.033245203423799136,1.8269052245072512e-08,2.110959137725597e-08,9.74818939320405
11,999999999.9999999,7.906043210907702e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.567801713943481,282.99019899812373,84989.69221277809,34.0,1.0067794839629012,282.8558405188303,84826.15659008491,0.009022523727871106,7.968779960254887e-06,0.006840096825990294,0.04779011290089203,0.052058251715849525,0.04779011290089203,2.031035488110567e-08,3.0011110358906003e-08,10.13722320990094
12,999999999.9999999,9.540954763499924e-09,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,14.614792823791504,282.9901990572558,84989.69222829817,28.0,1.005875144186803,282.8786712833578,84857.05702517144,0.009024995281646778,5.497341514093735e-06,0.005893620209937778,0.07284290940489038,0.07290394755637429,0.06592229526259165,2.197060180259601e-08,4.0935424195046116e-08,9.6697712923651
13,999999999.9999999,1.1513953993264482e-08,1.8,0.54,0.5,283.0,85000.0,0.009030491912781378,PySDM,False,16.62407374382019,282.99019924169176,84989.69227670612,24.0,1.0051324321963204,282.8951711443226,84877.63551505782,0.009026153493055881,4.339650655051381e-06,0.005154467914389338,0.09644559763296966,0.10186755880675369,0.09644559763296966,2.4425499121474245e-08,5.6025425526420905e-08,9.207644948403873
